,user_id,movie_id,rating,timestamp,gender,age,occupation,zip,title,genres,for_testing
758856,5567,2915,4,959349063,M,50,3,78704,Risky Business (1983),Comedy,False
345912,2050,1959,3,975522916,F,35,3,99504,Out of Africa (1985),Drama|Romance,False
424866,3578,1252,5,966711654,M,50,3,96714,Chinatown (1974),Film-Noir|Mystery|Thriller,False
538336,2995,2021,4,970683967,M,25,15,97333,Dune (1984),Fantasy|Sci-Fi,False
886049,1285,3617,5,974792837,M,35,4,98125,Road Trip (2000),Comedy,False
148782,1205,3809,4,974845998,F,56,0,46814,What About Bob? (1991),Comedy,False
975916,4169,2630,4,985827618,M,50,0,66048,Besieged (L' Assedio) (1998),Drama,False
907448,4931,2147,2,962652650,M,50,17,90031,"Clan of the Cave Bear, The (1986)",Drama,False
854472,5273,3628,3,961112421,M,56,20,91030,Flying Tigers (1942),Action|Drama|War,False
509605,4287,2000,5,965277593,M,25,7,35244,Lethal Weapon (1987),Action|Comedy|Crime|Drama,False
600236,2629,762,2,973626998,M,25,11,15237,Striptease (1996),Comedy|Crime,False
853771,3885,3519,4,973715937,M,25,12,92728,Force 10 from Navarone (1978),Action|War,False
386075,3269,2324,5,968199057,F,18,20,45220,Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama,False
437027,509,1339,4,976209492,M,25,2,55125,Bram Stoker's Dracula (1992),Horror|Romance,False
562399,4950,1288,3,962946210,M,25,16,55421,This Is Spinal Tap (1984),Comedy|Drama|Musical,False
905795,4354,2184,5,966752385,M,35,14,78611,"Trouble with Harry, The (1955)",Mystery|Thriller,False
155476,4062,165,3,965482297,M,25,7,60559,Die Hard: With a Vengeance (1995),Action|Thriller,False
889590,2663,3067,4,973459495,F,25,4,02215,Women on the Verge of a Nervous Breakdown (1988),Comedy|Drama,False
45423,3754,1962,4,966119454,M,56,7,94612,Driving Miss Daisy (1989),Drama,False
666445,1029,2248,3,975004163,M,25,0,20015,Say Anything... (1989),Comedy|Drama|Romance,False
450232,1004,316,4,975040514,M,25,3,95136,Stargate (1994),Action|Adventure|Sci-Fi,False
10970,5517,594,5,959701052,M,56,0,80210,Snow White and the Seven Dwarfs (1937),Animation|Children's|Musical,False
274729,2382,968,5,974324778,M,50,13,59715,Night of the Living Dead (1968),Horror|Sci-Fi,False
10177,5605,2804,4,959194584,F,18,2,95008,"Christmas Story, A (1983)",Comedy|Drama,False
780515,975,361,3,975107298,M,35,0,98136,It Could Happen to You (1994),Drama|Romance,False
273132,4520,2580,5,964836738,M,25,4,45810,Go (1999),Crime,False
947835,3378,2451,3,967756714,M,18,4,48135,"Gate, The (1987)",Horror,False
604963,2774,1396,3,973063915,M,25,1,92103,Sneakers (1992),Crime|Drama|Sci-Fi,False
157762,3827,380,4,966130894,M,50,2,87020,True Lies (1994),Action|Adventure|Comedy|Romance,False
419289,3970,3270,4,965837050,F,25,2,02903,"Cutting Edge, The (1992)",Drama,False
82839,1063,1253,4,979959724,M,35,7,50265,"Day the Earth Stood Still, The (1951)",Drama|Sci-Fi,False
536869,5645,2529,3,958879774,M,25,2,87123,Planet of the Apes (1968),Action|Sci-Fi,False
668488,1755,26,4,1036917651,F,18,4,77005,Othello (1995),Drama,False
258174,2562,1912,4,973980162,M,18,0,98021,Out of Sight (1998),Action|Crime|Romance,False
442185,5720,1918,1,958577197,M,25,0,60610,Lethal Weapon 4 (1998),Action|Comedy|Crime|Drama,False
210113,3336,2115,2,968043606,M,35,17,93436,Indiana Jones and the Temple of Doom (1984),Action|Adventure,False
8869,5667,1287,3,958767005,M,35,7,10009,Ben-Hur (1959),Action|Adventure|Drama,False
916936,5046,2457,2,962499638,M,25,16,60614,Running Scared (1986),Action|Comedy,False
574893,4788,934,4,962999379,M,35,7,85331,Father of the Bride (1950),Comedy,False
440121,2576,592,4,973899014,M,18,17,97030,Batman (1989),Action|Adventure|Crime|Drama,False
323372,3756,36,4,966096590,M,18,12,53188,Dead Man Walking (1995),Drama,False
159078,1392,349,4,974766204,M,45,3,90006,Clear and Present Danger (1994),Action|Adventure|Thriller,False
723255,3754,2416,3,966120041,M,56,7,94612,Back to School (1986),Comedy,False
162913,3562,920,5,966795618,F,25,6,32812,Gone with the Wind (1939),Drama|Romance|War,False
337206,3514,1296,3,966972228,M,18,12,30318,"Room with a View, A (1986)",Drama|Romance,False
106482,4150,1945,3,965341616,M,25,0,29672,On the Waterfront (1954),Crime|Drama,False
131071,5554,1196,5,959451343,M,25,1,92116,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War,False
322513,4981,357,5,962597817,M,50,1,55406,Four Weddings and a Funeral (1994),Comedy|Romance,False
359591,192,1476,4,977025904,M,18,1,10977,Private Parts (1997),Comedy|Drama,False
752755,1579,2118,4,974757279,M,25,0,60201,"Dead Zone, The (1983)",Horror|Thriller,False
352086,5767,474,4,958191780,M,25,2,75287,In the Line of Fire (1993),Action|Thriller,False
746861,2203,2410,4,974604943,M,45,12,53718,Rocky III (1982),Action|Drama,False
41685,173,1,4,995304562,M,25,0,45237,Toy Story (1995),Animation|Children's|Comedy,False
71261,1099,1210,4,974924435,M,25,17,77059,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Romance|Sci-Fi|War,False
7038,3108,1197,2,969490857,M,50,6,22039,"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance,False
915968,6016,2290,3,956785125,M,45,1,37209,Stardust Memories (1980),Comedy|Drama,False
875768,2894,3404,2,971987374,M,18,4,44130,Titanic (1953),Action|Drama,False
328077,3650,364,4,966457637,M,25,0,60611,"Lion King, The (1994)",Animation|Children's|Musical,False
173377,331,318,5,976849543,M,25,7,55902,"Shawshank Redemption, The (1994)",Drama,False
873516,1599,575,4,974824962,M,25,0,92646,"Little Rascals, The (1994)",Children's|Comedy,False
389276,157,1678,3,977248264,M,35,16,12866,"Joy Luck Club, The (1993)",Drama,False
